Sample,Well Location,t1,t2,t3,t4,t5,t6,t7,t8,t9,t10,t11,t12,t13,t14,t15,t16,t17,t18,t19,t20,t21,t22,t23,t24,t25,t26,t27,t28,t29,t30,t31,t32,t33,t34,t35,t36,t37,t38,t39,t40,t41,t42,t43,t44,t45,t46,t47,t48,t49,t50,t51,t52,t53,t54,t55,t56,t57,t58,t59,t60,t61,t62,t63,t64,t65,t66,t67,t68,t69,t70,t71,t72,t73,t74,t75,t76,t77,t78,t79,t80,t81,t82,t83,t84,t85,t86,t87
p1710,A7,453711.0938,435621.5938,420785.25,413097.3125,414346.9688,423961.4688,439710.375,458785.1563,478706.4688,497792.3438,515259.2188,531114.9375,545949.375,560749,576683.5,594841.9375,615842,639500.75,664741.75,689916.5,713427.625,734343,752727.3125,769524.25,786148.75,803915.5,823536.75,844846.625,866839.0625,888043.8125,907066,923075.75,936054.75,946700.3125,956104.75,965284.625,974850.9375,984887.0625,995052.6875,1004829.375,1013735,1021473,1027937.875,1033117.375,1036924.25,1039057.438,1038989.313,1036115.5,1029910.375,1019967.375,1005943.625,987658.375,965496.3125,940942.5625,916746.3125,896238.125,882019.625,874718.375,872695.8125,872880.3125,872204.25,868769.25,862216.6875,853329.1875,843309.25,833153.375,823370.25,813992.875,804761.375,795340.3125,785463.4375,775022.375,764061.375,752702.0625,741019.0625,728944.4375,716250.0625,702544.3125,687175,668902.8125,645442.1875,613186.9375,567623.6875,504827.9688,423819.7813,328686.0938,228892.1719
p1710,A8,483550.3125,461290.8125,444465.5,437842.125,443039.3438,458358.6875,480019.7813,503854.5,526626.5,546640.625,563629.875,578305.1875,591790.9375,605217.1875,619523.0625,635330.5,652902.625,672050.1875,692107.5,712046.1875,730728.875,747226.1875,761135.1875,772801,783324.5625,794249.75,807012.6875,822341.9375,839957,858692.625,877023.5625,893677,908089.625,920504.5625,931766.875,942917.625,954747,967513,980888,994168.5625,1006560.563,1017456.125,1026543.063,1033732.313,1038966,1042036.125,1042553.5,1040068.5,1034179.5,1024531,1010752.125,992616.125,970545.75,946205.9375,922609.625,903296.875,890860.5625,885683.5,885731,887553.625,887820,884529.25,877340.1875,867157.5625,855365.6875,843201.25,831456.0625,820482.4375,810334.25,800894.75,791910.5,783020,773797.9375,763859.6875,752930.625,740847,727485.6875,712648.1875,695900.8125,676287.375,651871.0625,619336,574171.875,512049.9375,431319.1563,335521.7813,234044.7656
p1710,A9,427454.1563,411953.25,398943.0313,391621.9375,391452.9375,397993.875,409529.1875,424051.75,439989.4063,456492.8438,473345.6563,490669.5313,508658.2813,527447.6875,547140,567812.1875,589472,611855,634235.625,655376.1875,673787.0625,688262.75,698515.5625,705609.1875,711862.125,720214.8125,733212.625,752046.1875,776092.8125,803173.6875,830437.6875,855396.25,876719.375,894463.375,909760.8125,924163,938972.4375,954801.5625,971440.9375,988062.3125,1003546.5,1016832,1027126.625,1033968.125,1037194.563,1036884.75,1033343.063,1026983.688,1018141.063,1006776.938,992361.9375,974200.375,952215.625,927766.0625,903800.5625,883989.8125,871095.125,865630.0625,865637.25,867730.125,868693,866653.0625,861344.1875,853558.75,844369.375,834558.25,824457.9375,814091.5625,803408.5,792435.125,781299.875,770160.625,759098.5625,748043.6875,736775.0625,724983.1875,712362.875,698624.5625,683299.25,665322.8125,642493.25,611143.6875,566562.25,504543.0313,423860.0625,328516.9063,228116.9063
KH3,A10,612921.1875,577913.4375,546965.0625,527746.25,524317.1875,536318.5625,560202.3125,591442.6875,626333.5625,662713.1875,699776.0625,737362.25,775352.875,813297.75,850375,885433.625,917169.3125,944316.625,965982.375,981949.9375,992742.125,999298.6875,1002455.875,1002608.313,999760.4375,993833.75,984897.8125,973116.625,958561.0625,941227.9375,921378.75,900022,879151.0625,861482.375,849688.1875,845543.4375,849357.6875,859871.5625,874675.5,890888.5625,905887.3125,917883.3125,926154.125,930874.25,932669.1875,932108.75,929369,924264.5625,916533.375,906186.9375,893677.8125,879871.125,865978.0625,853535.1875,844359.5,840186,841960.625,849176.375,859786.6875,870868.75,879669.6875,884379.4375,884367.3125,879901.75,871737,860761.1875,847785.6875,833472.125,818350,802890.375,787571.125,772891.25,759332.5,747285,736925.875,728066.75,719997.25,711432.625,700568.5625,685180.3125,662609.1875,629605,582429.25,517799.625,434893.5,337562.6875,235065.2031
KH3,A11,554542.6875,523339.9063,495927.2813,478931.2813,475930.8438,486715.0625,508301.5938,536741.25,568676.4375,602086.0625,636137.125,670622.625,705461.6875,740487.375,775517.4375,810391.375,844867.5625,878331.25,909597.3125,937018.25,958882.9375,973960.9375,981886.625,983213.0625,979121.75,970918.25,959560.125,945392.5,928229,907773.1875,884163.4375,858444.4375,832719.375,809870.625,792926.3125,784239.8125,784776.9375,793731.5625,808735.875,826535.0625,843958.3125,858713.0625,869809.5625,877444.8125,882578.625,886335.125,889485.3125,892154.625,893757.75,893137.3125,888893.875,879940.1875,866224.1875,849303.125,832291.375,818910.25,811962.1875,812065.375,817428.3125,824746.4375,830642.25,832789.875,830282.75,823361.6875,812896.5,799983.5625,785751.0625,771283.75,757547.5625,745280.5,734884.375,726395.9375,719545.75,713861.4375,708727.5,703400.1875,697004.5625,688530.0625,676790.375,660233.625,636636.375,602880.875,555270.125,490788.1563,409191.4375,314938.7188,217425
KH3,A12,630591.5,600420.375,574564.1875,559026,556574.3125,566454.375,585824.5,611638.4375,641828.5,675324.5625,711367.1875,748876.125,786379.0625,822437.125,856058.875,886728.875,914038.5625,937326.1875,955677.6875,968339.25,975153.8125,976744.375,974267.75,968980.75,961864.1875,953402.0625,943550.9375,931842.5625,917705.25,900828.125,881548.0625,860981.25,840949.6875,823654.0625,811239.625,805275.625,806291.875,813550.5625,825228.4375,838948.25,852509.125,864421.75,874100.9375,881653.75,887472.75,891906.4375,895109.25,897032.5625,897399.6875,895615.9375,890744.3125,881857.8125,868761.625,852739.75,836690.8125,824282.625,818436.5625,819972.125,827279.8125,837113.25,845970.8125,851226.5625,851598.5625,847000.5625,838102.375,825916.875,811519.625,795909.625,779957.125,764374.5625,749733.375,736482.375,724994.125,715551.6875,708250.6875,702849.1875,698641.6875,694426.3125,688517.4375,678667.5,661812.25,633864.8125,590064.875,526439.0625,442257.375,342305.375,237169.9688
KH5,B7,447729.7813,433138.125,422183.3438,417640.8125,420258.125,428904.125,441509.4375,456056.3438,471074.25,485765.75,499860.3438,513518.875,527267.0625,541811.375,557790.1875,575520.6875,594872.9375,615379.875,636416.3125,657403.8125,677904.75,697664.3125,716665.1875,735267.3125,754312.75,775066.5625,798839.25,826373.5,857309.5,890078,922297.9375,951524.375,975974.4375,994976.8125,1009011,1019380.75,1027638.5,1035021.063,1042144.125,1049042.25,1055414.375,1060904.5,1065248.875,1068331.625,1070199.5,1071021.25,1070944.75,1069847.25,1067082.5,1061381.75,1051118.25,1035018.5,1013151.938,987652.3125,962563.1875,942535.125,930887.3125,928129.0625,931835.75,937912.125,942427.5625,942932.625,938785.75,930639.125,919653.75,906887.3125,893037.9375,878432.0625,863127.5,847042.1875,830088.125,812272.5,793779.3125,774993.9375,756498.3125,738985.4375,723066.1875,708939.1875,695970.4375,682256.9375,664310.75,637105.3125,594825.5,532642.1875,449287.9688,349304.3438,243260.8125
KH5,B8,431344.125,410234.375,394002.5938,387039.0625,390865.8125,403992.4688,423033.4063,444215.625,464631.75,482905.625,499204,514837.5625,531524.1875,550681,572896.125,597819.1875,624392.75,651264.5,677240.0625,701569.125,723972.9375,744568.8125,763772,782309.6875,801196.875,821414,843317.3125,866075.25,887682.4375,905776.1875,918854,927144.5,932465.625,937224.625,943252.25,951260.75,961112.4375,972453.6875,985155.125,999232.375,1014443.188,1029952.688,1044362.125,1056181.875,1064442.125,1069080.25,1070765.25,1070251.125,1067608,1061919.5,1051689.875,1035844,1014815.063,991052.3125,968516.25,951228.9375,941629.75,939584.875,942638.5625,947215,950025.375,948976.125,943382.5,933671.5,920905.875,906360.125,891225.0625,876388.0625,862277.9375,848792.875,835341.5625,821060.375,805135.625,787137.75,767248.8125,746278.875,725406.375,705650.9375,687183,668695.875,647054.125,617432.75,574189.6875,512644.3438,431518.1875,335030.875,233117.6719
KH5,B9,448633.1563,429565.5313,414628.4063,407583.5938,409749.5625,420072.2813,436144.7188,455341.9688,475502.375,495074.9375,513202.4688,529705.3125,544957.125,559461.75,573407.375,586565.5,598654.875,609925.3125,621528.5,635328.5,653280,676692.375,705763.125,739537.25,776205.75,813596.4375,849662.9375,882864.9375,912333.3125,937789.9375,959274.5,976833.3125,990429.6875,1000119.625,1006353.563,1010152.438,1012993.938,1016473.063,1021837.063,1029651.25,1039698.938,1051152.875,1062859.25,1073574.875,1082061.625,1087179.375,1088059,1084295.75,1075947.875,1063251.25,1046297.625,1025063.938,999988,972746.4375,946495.5,925098.75,911551.6875,906540.625,908087.25,912493.1875,915957.0625,915909.8125,911447.25,903002.375,891675,878693.1875,865127.75,851784.875,839124.5625,827199.5625,815657.8125,803895.8125,791317.0625,777603.625,762864.0625,747564.125,732229.25,717003.0625,701218.625,683085.75,659549.1875,626415.5625,579000.8125,513596.6875,429644.75,331677.7188,229522.8125
J2,B10,760648.6875,730556,708677.375,701735,711887.0625,736408.9375,769534.125,805018.25,838021.0625,865752.9375,887188.75,902434.6875,912223.9375,917594.125,919756.6875,919979.0625,919343.1875,918381.0625,916740.9375,913179.0625,906116.9375,894550.75,878887.3125,861074.9375,843916.375,829908.4375,820236,814496.5625,811139.875,808323.0625,804710.1875,799894.1875,794455.8125,789720.5625,787316.4375,788595.125,794062.375,803052.375,813888.75,824443.6875,832863.375,838097.6875,840003.4375,839113.3125,836250.1875,832163.3125,827325.1875,821861,815513.125,807643.0625,797320.5625,783669.0625,766483.5625,746847.125,727271.1875,711055.375,701007,698196.1875,701469.9375,708000.875,714533.375,718582.5,719035.0625,716019.625,710350,702957.0625,694588.5,685732.125,676673.125,667538.875,658366.0625,649170.125,639969.75,630744.875,621338.125,611440.5625,600689.1875,588794.1875,575467.0625,560031.625,540826.375,514801.4375,477850.1875,426194.8125,358583.625,278273.4063,193370.7188
