Sample,Well Location,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87
fb5,C5,245678.1563,227531.1719,213480.125,207103.125,209213.4375,218033.3281,230645.9063,244680.9688,259216.8125,274601,291546.6875,310229.9375,329808,348503.9375,364155,374984.9688,380297.6875,380905.25,378874.7813,376699.875,376087.75,377104.9063,378129.5625,376828.4375,371571.375,362551.9688,351970.9688,343206.5,339353.2188,341903.9063,350179.1563,361768.5,373619.1563,383311,389942.4063,394456.3438,399287.4063,407339.0625,420683.875,439572.6563,462342.9063,486250.1563,508709.875,528220.3125,544562.125,558402.25,570709.3125,582325.6875,593844.625,605647,617933.9375,630726.6875,643943.625,657832.25,673704.1875,694403.25,723734.875,764674,817365.9375,878447.6875,942518.6875,1004832.813,1063329.5,1118562.625,1171846,1223026,1269658,1308053.5,1335368.5,1351186.625,1357426.5,1356806,1351181.875,1340997.25,1325975.375,1306135.75,1282134.375,1254750.375,1223985,1188278.875,1143957.75,1085050.125,1003999.375,894025.375,753001.5,587296.875,412714.75
fb5,C6,300918.875,277767.125,258459.125,248442.2969,250401.125,263550.2188,284462.9375,308825.5,332940.2813,354562.4063,372822.1563,387668.4375,399214,407354.3438,411787.7813,412398.0313,409690.8125,405025.5,400313.5,397394.0625,397288.9688,399807.8125,403686.25,407229.9063,409127.6875,409062.875,407734.5938,406441.5,406387.5313,408218.875,411829.25,416599.9688,421793.1875,426926.5,432014.875,437622.4688,444654.7188,453985.7813,465988.25,480264.1563,495798.9688,511514.7188,526817.75,541835.75,557163,573346.0625,590521.8125,608340.9375,626161.625,643250.5625,659075.3125,673597.8125,687686.1875,703449.4375,724203.125,753699.5,794713.375,847615.1875,909841.625,976790.75,1043640.563,1106983,1165267.5,1218021,1264589.75,1303496.625,1332763.75,1350867.5,1357548.5,1353941.5,1342114.5,1324378.75,1302853,1279339.875,1255438,1232630.5,1212083,1194060.375,1177127.375,1157456,1128604.5,1082044.25,1008685.625,901659.0625,760032.5625,591956,414861.4063
fb5,C7,270283.5313,248599.7188,232314.5469,226169.7656,231696.5313,247033.3906,268181.4688,290822.5,311699.4688,329203.8438,343272.7188,354858.5313,365307.8438,375787.25,386899.7813,398535.25,409979.2813,420268.5625,428569.8438,434458.5625,437983.5625,439477.25,439320,437747.375,434850.6563,430724.3125,425660.5313,420240.8125,415246.9688,411488.25,409571.1563,409798.9063,412225.6875,416758.75,423340.75,432010.8438,442861.6563,455862.6875,470641.75,486500.0938,502680.6875,518798,535079.4375,552175.25,570602.8125,590287.375,610558.8125,630517.6875,649357.375,666448.8125,681258.25,693562.25,704102.4375,715322.5,731376.1875,756955.625,795263.25,846283.9375,906602.4375,971000.125,1034791,1095324.25,1151778.75,1203713.75,1249717.5,1287296.5,1313998.75,1328884.5,1333156.5,1329600.75,1321253.125,1310174.5,1297002.25,1281339.875,1262580.75,1240629.625,1216153.875,1190182.375,1163186.875,1133920.625,1098438.375,1049806.5,979133.25,878354.3125,744460.5,583425.75,411144.375
kite3,C8,357015.1875,327704.1563,306972.4688,300949.9063,311228.0625,334903.4063,366411.75,399807.375,430347.5,455134.1563,473084.4375,484523.0313,490625.5313,492835.7813,492424.625,490354.5313,487292.9375,483869.3125,480723.4063,478500.1875,477603.875,477979.8125,479103.5,480172.875,480552.2813,480143.5313,479603.6563,480072.625,482756.375,488443.125,497297.6875,509032.6875,523052.75,538612.1875,554798.75,570656.375,585459.875,599125.75,612325.75,626137.125,641423.1875,658276.1875,676015.9375,693627.625,710478.0625,726721.125,743365.5,761831.125,783355.9375,808388.625,836295.375,865586.4375,894734.8125,923225.75,952273.6875,984454.9375,1022458.063,1067484.625,1118367,1171745.5,1223083.875,1267853.625,1302471.75,1324845.875,1334554,1332624,1321059.875,1302275.875,1278704.875,1252590,1225830,1199825.75,1175439.625,1153133.875,1133253.75,1116152.75,1101968.5,1090092.625,1078523.75,1063394.375,1038825,997268.5625,930686.1875,832899.875,702966.4375,548177.375,384420.2813
kite3,C9,348963.5625,333882.6875,322160.25,316602.3438,317863.6563,324719.6875,335263.3438,348032.5625,362351.4688,377896.0625,394145.0938,410193.625,425002.8438,437753.5,447974.625,455422.4688,460021.8125,462027.4063,462113.9375,461271.4375,460436.5,460156.8125,460663.1563,462228.9375,465429.4688,470999.7188,479236.5,489492.1563,500223.3125,509653,516649.25,521208.25,524375.3125,527629.75,532303.6875,539246.6875,548802.875,560927.5625,575228.25,590975.5,607115.0625,622493.9375,636244.25,648183.375,658999.125,670029.9375,682840.5,698720.125,718365.5,741702.75,767963,795972,824735,854099.9375,885100.1875,919595.3125,959339.375,1004987.938,1055644.75,1109002.875,1161791.625,1210262.5,1250710.5,1280174.25,1297126.875,1301858.875,1296266.75,1283194.375,1265655.375,1246218.625,1226653.125,1207886.25,1190291.125,1174102.375,1159679.125,1147334.875,1136844,1126954.75,1115118.125,1097432,1068554.375,1021745.063,949679.625,846656.75,712085.9375,553625.5,387487.8125
kite3,C10,341334.3438,312044.5938,291055.0313,284469.125,293663,315405.3125,344054.7813,374195.5,402248.7188,426614.4375,446932.5313,463292.0938,475893.375,485082.4063,491439.6875,495657.4375,498363.6875,499919.8438,500443.4375,499884.4688,498124.9063,495071.6563,490815.9375,485778.9063,480794.375,476955.6563,475317.9063,476596.125,481056.9375,488562.5938,498812.25,511510.9063,526443.625,543419.5625,562040.4375,581622.5625,601355.8125,620580.75,638949.375,656301.375,672441.25,687014.625,699702.6875,710575.4375,720353.1875,730396.3125,742381.875,757846.8125,777677.3125,801767.25,828944.1875,857412.375,885729.625,913905.25,943895.25,978922.125,1021717.125,1072658.75,1128966.25,1185410.125,1236073.125,1276055.625,1302455.375,1314431.5,1312821.125,1299708.75,1278088.5,1251496.5,1223468.125,1196867,1173333.125,1153126.125,1135414.25,1118812.625,1101907,1083616.625,1063342.75,1040908.75,1016144.938,988118.375,954099,908912.25,845410.3125,756769.75,640285.0625,501000.25,352618.3125
kh3,D5,265936.25,253119.5781,242546.4219,236235.7188,234797.5938,237842.9531,244834.1094,255569.5469,270020.7813,287678.2813,307111.5625,326052.7188,342013.4375,353044.5938,358279.0625,358024,353471.7813,346258.25,337982.125,329965.9063,323183,318286.8438,315469.3125,314248.2813,313542.4063,312273.4063,310221.4688,308465.6563,308891.4688,313033.3125,321009.1563,331394.875,342041.9375,351330.75,359050.25,366453.4688,375594.2813,388341.125,405540.1563,426621.9688,449852.1875,473017.8125,494327.4688,513077.0625,529983.5625,546984.375,566625.625,591127.875,621404.625,656463.5,693628.0625,729793.25,763260.375,795167.0625,829415.6875,870848.0625,922530,983823.125,1050306.625,1115447.25,1172828.25,1217845.75,1248365.5,1264594,1268468.625,1262792.75,1250427.125,1233729.25,1214389.875,1193561.125,1172063.625,1150478.875,1129099,1107861,1086397.25,1064260,1041145.375,1016815.125,990630.375,960877.3125,924256.625,875810.1875,809593.1875,720409.625,606647.1875,473215.125,332494.4375
kh3,D6,242345.9688,217294.3906,196127.5781,184801.4375,186179.5313,199291.3906,220431.75,245166.0469,270028.75,293140.7813,313855.4688,331950.25,347022.125,358425.25,365589.875,368487.9063,367881.875,365181.0625,362063.4688,360004.4375,359852.3438,361549.125,364093.9688,365945.5313,365726.0625,362976.5,358467.2188,353909.8438,351192.75,351589.5,355380.9063,361986.75,370497.75,380238.25,391047.2188,403151.125,416836.4688,432075.75,448389.5938,465021.125,481366.7813,497402.75,513811.2188,531749.6875,552322.0625,576139.0625,603136,632751.25,664151.8125,696376.125,728458.75,759668.0625,790006.875,820816.125,854939.25,895930.25,946372.875,1006077.063,1071287,1135521.75,1191690.75,1234333.125,1261028.125,1272482.125,1271625.25,1262287.25,1248047,1231528.625,1214190.75,1196480.125,1178197,1158922.875,1138388.375,1116645.5,1094067.75,1071140.375,1048195.625,1025094.688,1000903.188,973497.125,939177.375,892526.5625,827037.9375,737057.4375,620954.0625,484187.8125,340006.1875
kh3,D7,266887.1875,242720.0156,222231,210879.2656,211531.7188,223771.9844,244587.1719,269818.3438,295605.0938,319315.375,339789.5938,356974.9688,371302.8125,383152.8125,392659.0313,399863.5625,404990.9688,408491.6875,410851.3438,412268.1875,412461.3125,410866.9063,407040.1875,401145.25,394145.7813,387587.5938,383090.9375,381808.1875,384066.5625,389397.8438,396824.625,405263.3438,413930.8125,422642.0625,431888.9688,442607,455653.9375,471360.125,489405,509143.8125,530064.9375,552016.0625,575042.75,599110.5,624006.5,649513.75,675618.75,702469.375,730162.625,758476.6875,786944,815320.1875,844255.3125,875797.125,913131.0625,959294.5625,1015201.75,1078034.875,1141237.5,1196474,1236656.125,1258436.5,1262896,1254345.875,1238233.25,1219276.25,1200519.875,1183209.375,1167135.375,1151196,1134028.75,1114681.25,1093048.5,1069916.25,1046563.438,1024175.938,1003322.313,983643.625,963710.5625,940855.3125,910977.5625,868480.9375,806911.1875,720767.1875,608486.875,475353.25,334240.9063
pb7-14,D8,305939.6563,276589,253570.1875,243217.5625,248081.5625,266659.7188,294776.8125,327413.5625,359996.875,388962.1563,411976,428043.625,437559.5938,441977,443112.0313,442319.1563,440041.625,436041.9063,430116.5625,422779.5625,415371.5,409469.875,406093.6563,405216.375,405895.4688,406883.8438,407346.5313,407263.3125,407421.5313,409046.5938,413234.7813,420525.6563,430766.0625,443234.25,457021.4688,471409.875,486202.1875,501754.75,518781.75,537966.875,559629.8125,583565.4375,609141.75,635633,662652.5,690440,719832.75,751831.375,786961.6875,824737.1875,863582.1875,901451.5,936954.25,970473.75,1004421.063,1042126.375,1085674,1133944.625,1182294.25,1224196,1253936.25,1268747.5,1269342.75,1258921.25,1241533.25,1220798.25,1199305.5,1178592.75,1159392.875,1141900.875,1125970.625,1111253.375,1097335.375,1083876.375,1070755.375,1058058.625,1045843.125,1033699.813,1020273.125,1002804.938,976821.0625,936144.0625,873619.25,783147.3125,662957.25,518857.0938,365119.0938
