Species,Temp,Conc,Treatment
A. picea,15,0.960233918,Total
A. picea,20,1.022612086,Total
A. picea,25,0.936842105,Total
A. picea,30,0.968031189,Total
A. picea,35,0.927095517,Total
A. picea,40,0.991423002,Total
A. picea,45,0.919298246,Total
A. picea,50,0.942690058,Total
A. picea,55,0.958528265,Total
A. picea,60,0.89005848,Total
A. picea,15,0.944639376,Native
A. picea,20,0.903703704,Native
A. picea,25,0.94,Native
A. picea,30,0.923196881,Native
A. picea,35,0.745808967,Native
A. picea,40,0.654191033,Native
A. picea,45,0.593762183,Native
A. picea,50,0.504093567,Native
A. picea,55,0.365692008,Native
A. picea,60,0.326705653,Native
P. barbatus,15,0.952436647,Total
P. barbatus,20,0.968031189,Total
P. barbatus,25,0.969980507,Total
P. barbatus,30,0.969980507,Total
P. barbatus,35,0.89785575,Total
P. barbatus,40,0.960233918,Total
P. barbatus,45,0.905653021,Total
P. barbatus,50,0.919298246,Total
P. barbatus,55,0.929044834,Total
P. barbatus,60,0.999220273,Total
P. barbatus,15,0.965107212,Native
P. barbatus,20,0.942690058,Native
P. barbatus,25,0.947173489,Native
P. barbatus,30,0.965107212,Native
P. barbatus,35,0.771150097,Native
P. barbatus,40,0.552826511,Native
P. barbatus,45,0.416374269,Native
P. barbatus,50,0.398830409,Native
P. barbatus,55,0.322807018,Native
P. barbatus,60,0.264327485,Native
