Species,Temp,Treatment,Colony,Proportion
Aphaenogaster,25,Total,Avon,0.975043548
Aphaenogaster,30,Total,Avon,1
Aphaenogaster,35,Total,Avon,0.931068908
Aphaenogaster,40,Total,Avon,0.898384635
Aphaenogaster,43,Total,Avon,0.953728348
Aphaenogaster,45,Total,Avon,0.789789168
Aphaenogaster,48,Total,Avon,0.914167535
Aphaenogaster,50,Total,Avon,0.827465146
Aphaenogaster,55,Total,Avon,0.892688706
Aphaenogaster,60,Total,Avon,0.871976239
Aphaenogaster,65,Total,Avon,0.897162599
Aphaenogaster,70,Total,Avon,0.875621633
Aphaenogaster,25,Total,Avon,0.963267233
Aphaenogaster,30,Total,Avon,1
Aphaenogaster,35,Total,Avon,0.940029015
Aphaenogaster,40,Total,Avon,0.882105926
Aphaenogaster,43,Total,Avon,0.755179557
Aphaenogaster,45,Total,Avon,0.626895111
Aphaenogaster,48,Total,Avon,0.599862899
Aphaenogaster,50,Total,Avon,0.548945765
Aphaenogaster,55,Total,Avon,0.502361546
Aphaenogaster,60,Total,Avon,0.444007321
Aphaenogaster,65,Total,Avon,0.368278324
Aphaenogaster,70,Total,Avon,0.379078275
Pogonomrmex,25,Total ,WWRQ45,0.948829293
Pogonomrmex,30,Total ,WWRQ45,0.920811016
Pogonomrmex,35,Total ,WWRQ45,0.975844725
Pogonomrmex,40,Total ,WWRQ45,0.984243556
Pogonomrmex,43,Total ,WWRQ45,0.984028661
Pogonomrmex,45,Total ,WWRQ45,1
Pogonomrmex,48,Total ,WWRQ45,0.946685455
Pogonomrmex,50,Total ,WWRQ45,0.9813834
Pogonomrmex,55,Total ,WWRQ45,0.983990287
Pogonomrmex,60,Total ,WWRQ45,0.975200038
Pogonomrmex,65,Total ,WWRQ45,0.854403196
Pogonomrmex,70,Total ,WWRQ45,0.95729464
Pogonomrmex,25,Native,WWRQ45,1
Pogonomrmex,30,Native,WWRQ45,0.986066083
Pogonomrmex,35,Native,WWRQ45,0.975961097
Pogonomrmex,40,Native,WWRQ45,0.843330328
Pogonomrmex,43,Native,WWRQ45,0.805162529
Pogonomrmex,45,Native,WWRQ45,0.73237611
Pogonomrmex,48,Native,WWRQ45,0.62086804
Pogonomrmex,50,Native,WWRQ45,0.599312997
Pogonomrmex,55,Native,WWRQ45,0.49131737
Pogonomrmex,60,Native,WWRQ45,0.409923628
Pogonomrmex,65,Native,WWRQ45,0.416278805
Pogonomrmex,70,Native,WWRQ45,0.411542799
