Date ,Replicate,Species,Colony,TN,Sample,T,prot_conc,unfolding
20160407,1,P. barbatus,WWRQ-45,T,1,25,0.929011888,0.948829293
20160407,1,P. barbatus,WWRQ-45,T,2,30,0.901578805,0.920811016
20160407,1,P. barbatus,WWRQ-45,T,3,35,0.955463071,0.975844725
20160407,1,P. barbatus,WWRQ-45,T,4,40,0.963686483,0.984243556
20160407,1,P. barbatus,WWRQ-45,T,5,43,0.963476076,0.984028661
20160407,1,P. barbatus,WWRQ-45,T,6,45,0.979113835,1
20160407,1,P. barbatus,WWRQ-45,T,7,48,0.926912826,0.946685455
20160407,1,P. barbatus,WWRQ-45,T,8,50,0.960886065,0.9813834
20160407,1,P. barbatus,WWRQ-45,T,9,55,0.963438504,0.983990287
20160407,1,P. barbatus,WWRQ-45,T,10,60,0.95483185,0.975200038
20160407,1,P. barbatus,WWRQ-45,T,11,65,0.83655799,0.854403196
20160407,1,P. barbatus,WWRQ-45,T,12,70,0.937300426,0.95729464
20160407,1,P. barbatus,WWRQ-45,N,1,25,0.886426986,1
20160407,1,P. barbatus,WWRQ-45,N,2,30,0.874075586,0.986066083
20160407,1,P. barbatus,WWRQ-45,N,3,35,0.865118254,0.975961097
20160407,1,P. barbatus,WWRQ-45,N,4,40,0.747550761,0.843330328
20160407,1,P. barbatus,WWRQ-45,N,5,43,0.713717794,0.805162529
20160407,1,P. barbatus,WWRQ-45,N,6,45,0.649197948,0.73237611
20160407,1,P. barbatus,WWRQ-45,N,7,48,0.550354185,0.62086804
20160407,1,P. barbatus,WWRQ-45,N,8,50,0.531247213,0.599312997
20160407,1,P. barbatus,WWRQ-45,N,9,55,0.435516975,0.49131737
20160407,1,P. barbatus,WWRQ-45,N,10,60,0.363367366,0.409923628
20160407,1,P. barbatus,WWRQ-45,N,11,65,0.369000766,0.416278805
20160407,1,P. barbatus,WWRQ-45,N,12,70,0.364802643,0.411542799
20160412,1,A. picea,AVON,T,1,25,1.022040816,0.975043548
20160412,1,A. picea,AVON,T,2,30,1.048200174,1
20160412,1,A. picea,AVON,T,3,35,0.975946591,0.931068908
20160412,1,A. picea,AVON,T,4,40,0.94168693,0.898384635
20160412,1,A. picea,AVON,T,5,43,0.99969822,0.953728348
20160412,1,A. picea,AVON,T,6,45,0.827857143,0.789789168
20160412,1,A. picea,AVON,T,7,48,0.958230569,0.914167535
20160412,1,A. picea,AVON,T,8,50,0.86734911,0.827465146
20160412,1,A. picea,AVON,T,9,55,0.935716457,0.892688706
20160412,1,A. picea,AVON,T,10,60,0.914005645,0.871976239
20160412,1,A. picea,AVON,T,11,65,0.940405992,0.897162599
20160412,1,A. picea,AVON,T,12,70,0.917826748,0.875621633
20160412,1,A. picea,AVON,N,1,25,0.970149805,0.963267233
20160412,1,A. picea,AVON,N,2,30,1.007145028,1
20160412,1,A. picea,AVON,N,3,35,0.946745549,0.940029015
20160412,1,A. picea,AVON,N,4,40,0.888408597,0.882105926
20160412,1,A. picea,AVON,N,5,43,0.760575337,0.755179557
20160412,1,A. picea,AVON,N,6,45,0.631374294,0.626895111
