Accession,Description,15,20,25,30,35,40,45,50,55,60,# AAs,MW [kDa],calc. pI
769856154,PREDICTED: uncharacterized protein LOC105428831 [Pogonomyrmex barbatus],1,0.873,0.536,2.064,2.023,0.842,1.328,1.188,2.063,1.886,472,54.4,7.36
769837384,PREDICTED: uncharacterized protein LOC105422264 [Pogonomyrmex barbatus],1,1.025,0.433,1.602,1.400,0.576,0.828,0.541,0.786,0.933,231,26.5,5.15
769842558,PREDICTED: troponin C [Pogonomyrmex barbatus],1,0.913,0.419,1.560,1.370,0.594,0.963,0.715,0.881,0.854,150,16.8,4.15
769846919,PREDICTED: ejaculatory bulb-specific protein 3-like [Pogonomyrmex barbatus],1,1.053,0.548,1.593,1.336,0.729,1.013,0.921,1.413,1.120,130,15.2,7.24
769863688,"PREDICTED: troponin C, isoform 3-like isoform X2 [Pogonomyrmex barbatus]",1,0.968,0.463,1.510,1.322,0.598,0.931,0.701,0.899,0.852,152,17.4,4.22
769860468,PREDICTED: tropomyosin-1 [Pogonomyrmex barbatus],1,1.038,0.553,1.702,1.256,0.681,1.206,0.732,0.942,1.114,284,32.3,4.81
769836533,PREDICTED: LOW QUALITY PROTEIN: membrane-associated progesterone receptor component 1-like [Pogonomyrmex barbatus],1,1.183,0.465,1.604,1.188,0.619,0.880,0.563,0.558,0.601,216,23.9,4.87
769842016,PREDICTED: tropomyosin isoform X17 [Pogonomyrmex barbatus],1,0.989,0.526,1.593,1.162,0.644,1.118,0.654,0.833,0.938,283,32.6,4.77
769833722,PREDICTED: cytochrome c-2 [Pogonomyrmex barbatus],1,0.943,0.391,1.444,1.067,0.576,0.766,0.582,0.740,0.595,108,11.9,9.57
769851037,PREDICTED: vegetative cell wall protein gp1-like isoform X2 [Pogonomyrmex barbatus],1,0.881,0.470,1.233,1.038,0.529,0.823,0.570,0.743,0.714,341,37.7,9.74
769850464,PREDICTED: probable serine/threonine-protein kinase kinX [Pogonomyrmex barbatus],1,0.954,0.484,1.345,1.038,0.652,0.676,0.589,0.686,0.745,479,52.0,4.55
769864651,"PREDICTED: LOW QUALITY PROTEIN: general odorant-binding protein 56d-like, partial [Pogonomyrmex barbatus]",1,0.943,0.446,1.423,1.022,0.601,0.710,0.591,0.954,0.840,120,13.1,6.11
769849137,"PREDICTED: LOW QUALITY PROTEIN: ATP synthase subunit d, mitochondrial-like [Pogonomyrmex barbatus]",1,0.912,0.404,1.367,0.999,0.501,0.672,0.413,0.542,0.526,169,19.7,7.55
769843558,PREDICTED: aromatic-L-amino-acid decarboxylase [Pogonomyrmex barbatus],1,0.885,0.373,0.977,0.958,0.359,0.549,0.342,0.394,0.462,480,54.4,6.54
769863492,PREDICTED: glutaredoxin-C4-like isoform X2 [Pogonomyrmex barbatus],1,0.858,0.366,1.275,0.955,0.445,0.552,0.473,0.613,0.555,98,11.0,6.10
769866507,PREDICTED: protein ROP isoform X1 [Pogonomyrmex barbatus],1,1.264,0.447,1.255,0.954,0.366,0.397,0.242,0.338,0.274,584,66.8,7.34
769853562,PREDICTED: fibrillin-1 [Pogonomyrmex barbatus],1,0.999,0.486,1.312,0.952,0.497,0.788,0.608,0.661,0.716,1338,145.0,5.58
769840912,PREDICTED: uncharacterized protein LOC105423558 [Pogonomyrmex barbatus],1,0.874,0.354,1.144,0.932,0.453,0.865,0.522,0.644,0.604,195,21.6,4.79
769846581,PREDICTED: thioredoxin domain-containing protein 17-like [Pogonomyrmex barbatus],1,0.867,0.415,1.223,0.916,0.408,0.576,0.427,0.430,0.337,127,14.7,5.60
769866071,"PREDICTED: LOW QUALITY PROTEIN: 10 kDa heat shock protein, mitochondrial-like [Pogonomyrmex barbatus]",1,0.916,0.380,1.223,0.913,0.506,0.632,0.532,0.670,0.616,157,17.4,9.72
769833694,PREDICTED: myosin regulatory light chain 2 [Pogonomyrmex barbatus],1,0.838,0.368,1.286,0.906,0.473,0.661,0.445,0.582,0.515,211,23.0,4.96
769831690,PREDICTED: glycine-rich protein DOT1-like [Pogonomyrmex barbatus],1,0.806,0.398,1.181,0.901,0.460,0.746,0.565,0.712,0.657,379,32.3,8.32
769855936,PREDICTED: LOW QUALITY PROTEIN: neprilysin-2-like [Pogonomyrmex barbatus],1,0.877,0.336,1.127,0.900,0.457,0.581,0.370,0.354,0.264,972,112.8,4.84
769839402,PREDICTED: 12 kDa FK506-binding protein [Pogonomyrmex barbatus],1,0.872,0.378,1.259,0.891,0.481,0.623,0.466,0.575,0.499,109,11.8,7.28
769854289,PREDICTED: LOW QUALITY PROTEIN: uncharacterized protein LOC105428210 [Pogonomyrmex barbatus],1,0.814,0.398,1.185,0.885,0.443,0.603,0.408,0.422,0.350,3584,403.4,6.80
769844417,PREDICTED: pheromone-binding protein Gp-9-like [Pogonomyrmex barbatus],1,0.891,0.398,1.241,0.874,0.490,0.744,0.518,0.645,0.585,156,18.2,4.77
769845947,PREDICTED: LOW QUALITY PROTEIN: uncharacterized protein LOC105425262 [Pogonomyrmex barbatus],1,0.850,0.359,1.193,0.869,0.458,0.616,0.459,0.578,0.551,351,39.6,9.39
