,slope,Tm,min,Accession,Description,X15,X20,X30,X35,X40,X45,X50,X55,X60,X..AAs,MW..kDa.,calc..pI
1,0.152978633,33.42274293,0.112848897,769829916,PREDICTED: cytochrome P450 4C1-like isoform X2 [Pogonomyrmex barbatus],1,0.699,0.816,0.512,0.247,0.251,0.171,0.157,0.151,212,24.5,5.91
2,0.414055619,34.53455809,0.150509196,769830255,"PREDICTED: phytanoyl-CoA dioxygenase, peroxisomal-like [Pogonomyrmex barbatus]",1,0.771,0.934,0.503,0.256,0.226,0.136,0.136,0.106,294,33.8,7.58
3,0.267313343,34.88221351,0.141981639,769831548,PREDICTED: glutamine synthetase 2 cytoplasmic isoform X2 [Pogonomyrmex barbatus],1,0.78,0.911,0.51,0.303,0.258,0.155,0.139,0.115,369,41.2,7.09
4,0.173911232,34.68562366,0.091608481,769831834,PREDICTED: LOW QUALITY PROTEIN: adenylosuccinate synthetase [Pogonomyrmex barbatus],1,0.739,0.872,0.489,0.282,0.264,0.141,0.132,0.099,455,49.9,7.43
5,0.265549973,33.87090677,0.119716833,769831911,PREDICTED: 4-coumarate--CoA ligase 1-like [Pogonomyrmex barbatus],1,0.799,0.834,0.468,0.233,0.209,0.137,0.117,0.106,537,60.3,8.21
6,0.356996282,34.75727932,0.167568048,769832280,PREDICTED: beta-hexosaminidase subunit beta-like [Pogonomyrmex barbatus],1,0.807,0.927,0.531,0.28,0.281,0.156,0.141,0.129,544,62,6.34
7,0.268848872,33.95368891,0.118307084,769832396,"PREDICTED: LOW QUALITY PROTEIN: glycerol-3-phosphate dehydrogenase [NAD(+)], cytoplasmic-like [Pogonomyrmex barbatus]",1,0.766,0.849,0.466,0.234,0.209,0.127,0.112,0.114,169,18.3,6.92
8,0.226006392,34.7141516,0.119870162,769833106,PREDICTED: peroxisomal multifunctional enzyme type 2-like isoform X3 [Pogonomyrmex barbatus],1,0.783,0.859,0.528,0.275,0.237,0.149,0.14,0.106,351,39.1,6.24
9,0.33184386,35.10170758,0.129386321,769833561,PREDICTED: glucose-6-phosphate isomerase [Pogonomyrmex barbatus],1,0.782,0.944,0.519,0.288,0.225,0.123,0.121,0.092,555,62.4,6.92
10,0.174269533,33.02729712,0.24226082,769833886,"PREDICTED: myosin heavy chain, muscle isoform X1 [Pogonomyrmex barbatus]",1,0.789,0.831,0.532,0.331,0.388,0.254,0.284,0.243,1968,224.8,5.99
11,0.482144515,34.39116027,0.195334788,769834007,PREDICTED: guanine nucleotide-binding protein subunit beta-like protein isoform X1 [Pogonomyrmex barbatus],1,0.783,0.936,0.526,0.262,0.252,0.169,0.204,0.152,317,35.7,7.72
12,0.34942887,34.90344251,0.123265135,769834202,"PREDICTED: ornithine aminotransferase, mitochondrial isoform X2 [Pogonomyrmex barbatus]",1,0.775,0.917,0.528,0.244,0.215,0.136,0.101,0.085,783,87.4,8.34
13,0.332797266,34.79985484,0.123057651,769834659,PREDICTED: fructose-bisphosphate aldolase isoform X1 [Pogonomyrmex barbatus],1,0.774,0.911,0.515,0.248,0.224,0.126,0.112,0.082,366,39.9,7.65
14,0.3260525,34.86586013,0.11840583,769834661,PREDICTED: fructose-bisphosphate aldolase isoform X2 [Pogonomyrmex barbatus],1,0.761,0.911,0.519,0.246,0.221,0.124,0.106,0.081,365,39.6,6.87
15,0.379227291,34.21590495,0.168108058,769835004,PREDICTED: triosephosphate isomerase isoform X2 [Pogonomyrmex barbatus],1,0.752,0.893,0.507,0.244,0.248,0.15,0.162,0.141,247,26.9,6.01
16,0.249596643,34.95283873,0.116763985,769835514,"PREDICTED: trifunctional enzyme subunit alpha, mitochondrial [Pogonomyrmex barbatus]",1,0.785,0.884,0.526,0.273,0.244,0.134,0.12,0.099,704,76.5,9.01
17,0.398051692,34.48899562,0.141767803,769835754,"PREDICTED: LOW QUALITY PROTEIN: lon protease homolog, mitochondrial [Pogonomyrmex barbatus]",1,0.782,0.914,0.503,0.247,0.183,0.142,0.147,0.102,999,112.8,8.66
18,0.236637834,34.18721906,0.14053201,769835901,"PREDICTED: aldehyde dehydrogenase, dimeric NADP-preferring isoform X6 [Pogonomyrmex barbatus]",1,0.754,0.856,0.513,0.253,0.25,0.164,0.146,0.136,512,57.7,7.91
19,0.331382579,33.84067186,0.212504579,769836105,PREDICTED: T-complex protein 1 subunit epsilon [Pogonomyrmex barbatus],1,0.797,0.875,0.504,0.29,0.311,0.206,0.218,0.16,540,59.3,6.21
20,0.294852712,34.50600514,0.122025282,769836353,"PREDICTED: LOW QUALITY PROTEIN: pyruvate dehydrogenase E1 component subunit beta, mitochondrial-like [Pogonomyrmex barbatus]",1,0.765,0.876,0.506,0.243,0.214,0.125,0.124,0.1,353,38.4,6.06
21,0.190852034,34.27387323,0.133780547,769836682,"PREDICTED: N(G),N(G)-dimethylarginine dimethylaminohydrolase 1 isoform X2 [Pogonomyrmex barbatus]",1,0.733,0.871,0.507,0.28,0.27,0.163,0.173,0.136,268,29.7,6.24
22,0.570553751,34.29019115,0.184136144,769836882,PREDICTED: cytochrome P450 4C1-like [Pogonomyrmex barbatus],1,0.876,0.982,0.483,0.301,0.244,0.147,0.15,0.127,515,59.8,8.72
23,0.300563511,33.93459084,0.200645991,769837003,PREDICTED: glucose-6-phosphate 1-epimerase [Pogonomyrmex barbatus],1,0.811,0.864,0.51,0.297,0.281,0.195,0.209,0.174,278,31.9,7.14
24,0.185180771,33.1169597,0.064464435,769837074,PREDICTED: UDP-glucuronosyltransferase 1-9-like [Pogonomyrmex barbatus],1,0.665,0.86,0.387,0.193,0.168,0.114,0.092,0.087,527,60,9.06
25,0.357098139,33.8516602,0.137684516,769837096,PREDICTED: 4-coumarate--CoA ligase 1-like isoform X2 [Pogonomyrmex barbatus],1,0.745,0.866,0.46,0.221,0.2,0.122,0.13,0.128,511,56.3,8.85
26,0.421418553,34.59453011,0.178700856,769837140,PREDICTED: dihydropteridine reductase [Pogonomyrmex barbatus],1,0.768,0.937,0.529,0.274,0.25,0.164,0.164,0.141,237,25.7,7.24
